question,context,lang,answerable,answer_start,answer,answer_inlang,had_good_te,will_be_pseudo
భారతదేశ  వ్యవసాయ భూములలో ఎక్కువగా పండించే పంట ఏది?,"The 513.7-million-worker Indian labour force is the world's second-largest, . The service sector makes up 55.6% of GDP, the industrial sector 26.3% and the agricultural sector 18.1%. India's foreign exchange remittances of US$70 billion in 2014, the largest in the world, contributed to its economy by 25 million Indians working in foreign countries. Major agricultural products include rice, wheat, oilseed, cotton, jute, tea, sugarcane, and potatoes. Major industries include textiles, telecommunications, chemicals, pharmaceuticals, biotechnology, food processing, steel, transport equipment, cement, mining, petroleum, machinery, and software. In 2006, the share of external trade in India's GDP stood at 24%, up from 6% in 1985. In 2008, India's share of world trade was 1.68%; In 2011, India was the world's tenth-largest importer and the nineteenth-largest exporter. Major exports include petroleum products, textile goods, jewellery, software, engineering goods, chemicals, and leather manufactures. Major imports include crude oil, machinery, gems, fertiliser, and chemicals. Between 2001 and 2011, the contribution of petrochemical and engineering goods to total exports grew from 14% to 42%. India was the second largest textile exporter after China in the world in the calendar year 2013.",te,True,351,"Major agricultural products include rice, wheat, oilseed, cotton, jute, tea, sugarcane, and potatoes","ప్రధాన వ్యవసాయ ఉత్పత్తులలో బియ్యం, గోధుమ, నూనె విత్తనాలు, పత్తి, జ్యూట్, టీ, చక్కెర గంజాయి, బంగాళాదుంపలు ఉన్నాయి",False,True
2012లో చైనా నుండి భారత్ కు ఎక్కువగా దిగుమతి అయిన వస్తువు ఏది?,"Since independence, India's balance of payments on its current account has been negative. Since economic liberalisation in the 1990s, precipitated by a balance-of-payment crisis, India's exports rose consistently, covering 80.3% of its imports in 2002–03, up from 66.2% in 1990–91. However, the global economic slump followed by a general deceleration in world trade saw the exports as a percentage of imports drop to 61.4% in 2008–09. India's growing oil import bill is seen as the main driver behind the large current account deficit, which rose to $118.7 billion, or 11.11% of GDP, in 2008–09. Between January and October 2010, India imported $82.1 billion worth of crude oil. The Indian economy has run a trade deficit every year from 2002 to 2012, with a merchandise trade deficit of US$189 billion in 2011–12. Its trade with China has the largest deficit, about $31 billion in 2013.",te,True,669,crude,ముడి పదార్థం,False,True
ముంబాయి దాడులలో ఎంత మంది మరణించారు?,"The 2008 Mumbai attacks (also referred to as 26/11) were a group of terrorist attacks that took place in November 2008, when 10 members of Lashkar-e-Taiba, an Islamic terrorist organisation based in Pakistan, carried out a series of 12 coordinated shooting and bombing attacks lasting four days across Mumbai. The attacks, which drew widespread global condemnation, began on Wednesday 26 November and lasted until Saturday 29 November 2008. At least 174 people died, including 9 attackers, and more than 300 were wounded.",te,True,441,At least 174 people died,కనీసం 174 మంది మరణించారు,False,True
ఢిల్లీని మొదటిగా పాలించిన చక్రవర్తి ఎవరు?,"The Delhi Sultanate is the name given for a series of five successive dynasties, who ruled North India with Delhi as their capital. The rule of the Delhi Sultanate was established in 1206 by Qutb-ud-Din Aibak. The relics of the Delhi Sultanate include the Qutb Minar and its surrounding monuments and the Tughlaqabad Fort. During this time, the city became a center for culture. The Delhi Sultanate came to an end in 1526, when Babur defeated the forces of the last sultan of Delhi, Ibrahim Lodi at the first Battle of Panipat, and formed the Mughal Empire.",te,True,132,The rule of the Delhi Sultanate was established in 1206 by Qutb-ud-Din Aibak,ఢిల్లీ సుల్తానాత్ పాలనను 1206లో కుత్బ్-ఉద్-దిన్ ఐబాక్ స్థాపించారు.,False,True
సైరస్ ది గ్రేట్ పైన ప్రభావం చూపిన యుద్ధం ఏది ?,"The Battle of Opis, fought in September 539 BC, was a major engagement between the armies of Persia under Cyrus the Great and the Neo-Babylonian Empire under Nabonidus during the Persian invasion of Mesopotamia. At the time, Babylonia was the last major power in western Asia that was not yet under Persian control. The battle was fought in or near the strategic riverside city of Opis, north of the capital Babylon. It resulted in a decisive victory for the Persians. A few days later, the city of Sippar surrendered to the Persians and Cyrus's forces entered Babylon apparently without a fight. Cyrus was subsequently proclaimed king of Babylonia and its subject territories, thus ending the independence of Babylon and incorporating the Babylonian Empire into the greater Persian Empire.",te,True,4,Battle of Opis,ఒపిస్ యుద్ధం,False,True
భారతదేశం మరియు చైనా సరిహద్దు రేఖ పేరేమిటి ?,"The McMahon Line is a border line between Tibetan region of China and North-east region of India, proposed by British colonial administrator Henry McMahon at the 1914 Simla Convention which was signed between the British and the Tibetan representatives. It is currently the effective boundary between China and India, although its legal status is disputed by the Chinese government. ",te,True,0,The McMahon Line,మెక్ మహోన్ లైన్,False,True
జన్యుపరంగా మార్పులు పొందిన జీవిని ఏమంటారు ?,"A genetically modified organism (GMO) is any organism whose genetic material has been altered using genetic engineering techniques. The exact definition of a genetically modified organism and what constitutes genetic engineering varies, with the most common being an organism altered in a way that ""does not occur naturally by mating and/or natural recombination"". A wide variety of organisms have been genetically modified (GM), from animals to plants and microorganisms. Genes have been transferred within the same species, across species (creating transgenic organisms) and even across kingdoms. New genes can be introduced, or endogenous genes can be enhanced, altered or knocked out.",te,True,2,genetically modified organism (GMO),జన్యుపరంగా మార్పు చెందిన జీవులు (GMO లు),False,True
ప్రపంచంలో ముఖ్యమంత్రి పదవిని అందుకున్న తొలి మహిళ పేరేమిటి?,"Sirima Ratwatte Dias Bandaranaike (, ; 17 April 1916 – 10 October 2000), commonly known as Sirimavo Bandaranaike, was a Sri Lankan stateswoman. She became the world's first non-hereditary female head of state or government in modern history, when she was elected Prime Minister of Sri Lanka in 1960. She served three terms: 1960–1965, 1970–1977 and 1994–2000.",te,True,0,Sirima Ratwatte Dias Bandaranaike,సిరిమా రాట్వాట్ డియాస్ బండారనాయికే,False,True
ఆవర్తన పట్టికలో ఎన్ని వాయువులు ఉన్నాయి?,"In chemistry, a nonmetal (or non-metal) is a chemical element that mostly lacks metallic attributes. Physically, nonmetals tend to have relatively low melting and boiling points, and densities, are mostly brittle if solid, and are usually poor conductors of heat and electricity; chemically, they tend to have relatively high ionization energy, electron affinity, and electronegativity values, and gain or share electrons when they react with other elements or compounds. Seventeen elements are generally classified as nonmetals; most are gases (hydrogen, helium, nitrogen, oxygen, fluorine, neon, chlorine, argon, krypton, xenon and radon); one is a liquid (bromine), and a few are solids (carbon, phosphorus, sulfur, selenium, and iodine). Metalloids such as boron, silicon and germanium are sometimes counted as nonmetals.",te,True,546,"hydrogen, helium, nitrogen, oxygen, fluorine, neon, chlorine, argon, krypton, xenon and radon","హైడ్రోజన్, హెలియం, నైట్రోజన్, ఆక్సిజన్, ఫ్లోరిన్, నియోన్, క్లోరిన్, ఆర్గాన్, క్రిప్టన్, క్జెనోన్ మరియు రాడాన్",False,True
మానవ శరీరంలోని మెదడులోని మొత్తం భాగాల సంఖ్య ఎంత ?,"The human brain is the central organ of the human nervous system, and with the spinal cord makes up the central nervous system. The brain consists of the cerebrum, the brainstem and the cerebellum. It controls most of the activities of the body, processing, integrating, and coordinating the information it receives from the sense organs, and making decisions as to the instructions sent to the rest of the body. The brain is contained in, and protected by, the skull bones of the head. 
The cerebrum is the largest part of the human brain. It is divided into two cerebral hemispheres. The cerebral cortex is an outer layer of grey matter, covering the core of white matter. The cortex is split into the neocortex and the much smaller allocortex. The neocortex is made up of six neuronal layers, while the allocortex has three or four. Each hemisphere is conventionally divided into four lobes – the frontal, temporal, parietal, and occipital lobes. The frontal lobe is associated with executive functions including self-control, planning, reasoning, and abstract thought, while the occipital lobe is dedicated to vision. Within each lobe, cortical areas are associated with specific functions, such as the sensory, motor and association regions. Although the left and right hemispheres are broadly similar in shape and function, some functions are associated with one side, such as language in the left and visual-spatial ability in the right. The hemispheres are connected by commissural nerve tracts, the largest being the corpus callosum.",te,True,154,"cerebrum, the brainstem and the cerebellum","మెదడు, మెదడు కండరము మరియు మెదడు కండరము",False,True
ఆవర్తన పట్టికలో ఎన్ని వాయువులు ఉంటాయి?,"In chemistry, a nonmetal (or non-metal) is a chemical element that mostly lacks metallic attributes. Physically, nonmetals tend to have relatively low melting and boiling points, and densities, are mostly brittle if solid, and are usually poor conductors of heat and electricity; chemically, they tend to have relatively high ionization energy, electron affinity, and electronegativity values, and gain or share electrons when they react with other elements or compounds. Seventeen elements are generally classified as nonmetals; most are gases (hydrogen, helium, nitrogen, oxygen, fluorine, neon, chlorine, argon, krypton, xenon and radon); one is a liquid (bromine), and a few are solids (carbon, phosphorus, sulfur, selenium, and iodine). Metalloids such as boron, silicon and germanium are sometimes counted as nonmetals.",te,True,546,"hydrogen, helium, nitrogen, oxygen, fluorine, neon, chlorine, argon, krypton, xenon and radon","హైడ్రోజన్, హెలియం, నైట్రోజన్, ఆక్సిజన్, ఫ్లోరిన్, నియోన్, క్లోరిన్, ఆర్గాన్, క్రిప్టన్, క్జెనోన్ మరియు రాడాన్",False,True
తమిళనాడు రాష్ట్ర మొదటి ముఖ్యమంత్రి ఎవరు?,"Conjeevaram Natarajan Annadurai (15 September 1909 – 3 February 1969), popularly called Anna (""Elder brother"") or Arignar Anna (""Anna, the scholar""), was an Indian politician who served as 1st Chief Minister of Tamil Nadu for 20 days in 1969 and fifth, and last Chief Minister of Madras from 1967 until 1969 when the name of the state of Madras was changed to Tamil Nadu. He was the first member of a Dravidian party to hold either post.",te,True,0,Conjeevaram Natarajan Annadurai,కాన్జీవరాం నతరాజన్ ఆనందూరై,False,True
2015లో డెన్మార్క్ దేశ అధ్యక్షుడు ఎవరు?,"Lars Løkke Rasmussen ( ; born 15 May 1964) is a Danish politician serving as the 25th and current Prime Minister of Denmark since 2015, previously holding the position from 2009 to 2011, and as Leader of the centre-right liberal Venstre party since 2009.",te,True,0,Lars Løkke Rasmussen,లార్స్ లక్కే రాస్మస్సేన్,False,True
ఇండియాలో టెలిఫోన్ ను ఏ సంస్థ ప్రవేశపెట్టింది ?,"In 1880, two telephone companies namely The Oriental Telephone Company Ltd. and The Anglo-Indian Telephone Company Ltd. approached the Government of India to establish telephone exchange in India. The permission was refused on the grounds that the establishment of telephones was a Government monopoly and that the Government itself would undertake the work. In 1881, the Government later reversed its earlier decision and a licence was granted to the Oriental Telephone Company Limited of England for opening telephone exchanges at Calcutta, Bombay, Madras and Ahmedabad and the first formal telephone service was established in the country. On 28 January 1882, Major E. Baring, Member of the Governor General of India's Council declared open the Telephone Exchanges in Calcutta, Bombay and Madras. The exchange in Calcutta named the ""Central Exchange"" had a total of 93 subscribers in its early stage. Later that year, Bombay also witnessed the opening of a telephone exchange.",te,True,44,Oriental Telephone Company Ltd. and The Anglo-Indian Telephone Company Ltd,ఓరియంటల్ టెలిఫోన్ కంపెనీ లిమిటెడ్ మరియు ది ఆంగ్లో-ఇండియన్ టెలిఫోన్ కంపెనీ లిమిటెడ్,False,True
రక్తకణాల కోసం చేసే అధ్యయనాన్ని ఏం అంటారు?,"Hematology, also spelled haematology, is the branch of medicine concerned with the study of the cause, prognosis, treatment, and prevention of diseases related to blood. It involves treating diseases that affect the production of blood and its components, such as blood cells, hemoglobin, blood proteins, bone marrow, platelets, blood vessels, spleen, and the mechanism of coagulation. Such diseases might include hemophilia, blood clots, other bleeding disorders and blood cancers such as leukemia, multiple myeloma, and lymphoma. The laboratory work that goes into the study of blood is frequently performed by a medical technologist or medical laboratory scientist. Many hematologists work as hematologist-oncologists, also providing medical treatment for all types of cancer. The term is from the Greek αἷμα, ""haima"" meaning ""blood,"" and -λoγία meaning study.",te,True,0,Hematology,హేమోటాలజీ,False,True
ఉత్తర అమెరికాలో ఉన్న దేశాల సంఖ్య ఎంత?,"North America covers an area of about 24,709,000 square kilometers (9,540,000 square miles), about 16.5% of the earth's land area and about 4.8% of its total surface.
North America is the third largest continent by area, following Asia and Africa, and the fourth by population after Asia, Africa, and Europe. In 2013, its population was estimated at nearly 579 million people in 23 independent states, or about 7.5% of the world's population, if nearby islands (most notably the Caribbean) are included.",te,True,379,23,23,False,True
కృత్రిమ గుండె ను కనుగొన్నది ఎవరు?,"Paul Winchell invented an artificial heart with the assistance of Henry Heimlich (the inventor of the Heimlich maneuver) and held the first patent for such a device. The University of Utah developed a similar apparatus around the same time, but when they tried to patent it, Winchell's heart was cited as prior art. The university requested that Winchell donate the heart to the University of Utah, which he did.
There is some debate as to how much of Winchell's design Robert Jarvik used in creating Jarvik's artificial heart. Heimlich states, ""I saw the heart, I saw the patent and I saw the letters. The basic principle used in Winchell's heart and Jarvik's heart is exactly the same."" Jarvik denies that any of Winchell's design elements were incorporated into the device he fabricated for humans which was successfully implanted into Barney Clark in 1982.",te,True,0,Paul Winchell,పాల్ విన్చెల్,False,True
చార్లెస్ డికెన్స్ మొత్తం ఎన్ని నవలలు రాసాడు?,"Born in Portsmouth, Dickens left school to work in a factory when his father was incarcerated in a debtors' prison. Despite his lack of formal education, he edited a weekly journal for 20 years, wrote 15 novels, five novellas, hundreds of short stories and non-fiction articles, lectured and performed readings extensively, was an indefatigable letter writer, and campaigned vigorously for children's rights, education, and other social reforms.",te,True,201,15,15,False,True
ఇంటెల్ సంస్థ వ్యవస్థాపకులు ఎవరు ?,"Intel Corporation was founded on July 18, 1968, by semiconductor pioneers Robert Noyce and Gordon Moore (of Moore's law), and widely associated with the executive leadership and vision of Andrew Grove. The company's name was conceived as portmanteau of the words ""int""egrated and ""el""ectronics, with co-founder Noyce having been a key inventor of the integrated circuit (microchip). The fact that ""intel"" is the term for intelligence information also made the name appropriate. Intel was an early developer of SRAM and DRAM memory chips, which represented the majority of its business until 1981. Although Intel created the world's first commercial microprocessor chip in 1971, it was not until the success of the personal computer (PC) that this became its primary business.",te,True,74,Robert Noyce and Gordon Moore,రాబర్ట్ నోయిస్ మరియు గోర్డాన్ మూర్,False,True
మానవుడి జీవితకాలం ఎంత?,"Evidence-based studies indicate that the life span of an individual depends on two major factors, genetics and lifestyle choices. For various reasons, including biological/genetic causes, women live on average about four years longer than men— the global average life expectancy at birth of a girl is estimated at 70.2 years compared to 66.1 for a boy. There are significant geographical variations in human life expectancy, mostly correlated with economic development—for example life expectancy at birth in Hong Kong is 84.8 years for girls and 78.9 for boys, while in Swaziland, primarily because of AIDS, it is 31.3 years for both sexes. The developed world is generally aging, with the median age around 40 years. In the developing world the median age is between 15 and 20 years. While one in five Europeans is 60 years of age or older, only one in twenty Africans is 60 years of age or older. The number of centenarians (humans of age 100 years or older) in the world was estimated by the United Nations at 210,000 in 2002. Jeanne Calment is widely believed to have reached the age of 122; higher ages have been claimed but are unsubstantiated.",te,True,248,global average life expectancy at birth of a girl is estimated at 70.2 years compared to 66.1 for a boy,బాలిక పుట్టినప్పుడు ప్రపంచ సగటు జీవన కాలవ్యవధి 70.2 సంవత్సరాలుగా అంచనా వేయబడింది.,False,True
హర్యానా రాష్ట్ర రాజధాని ఏది?,"Haryana (), carved out of the former state of East Punjab on 1November 1966 on linguistic as well as on cultural basis, is one of the 29 states in India. Situated in North India with less than 1.4% () of India's land area, it is ranked 22nd in terms of area. Chandigarh is the state capital, Faridabad in National Capital Region is the most populous city of the state and Gurugram is a leading financial hub of NCR with major Fortune 500 companies located in it. Haryana has 6 administrative divisions, 22 districts, 72 sub-divisions, 93 revenue tehsils, 50 sub-tehsils, 140 community development blocks, 154 cities and towns, 6,848 villages and 6222 villages panchayats.",te,True,259,Chandigarh,చండీగఢ్,False,True
భౌతిక శాస్త్రంలో భారతదేశం నుండి నోబెల్ బహుమతి పొందిన మొదటి వ్యక్తి ఎవరు?,"Raman spectroscopy came to be based on this phenomenon, and Ernest Rutherford referred to it in his presidential address to the Royal Society in 1929. Raman was president of the 16th session of the Indian Science Congress in 1929. He was conferred a knighthood, and medals and honorary doctorates by various universities. Raman was confident of winning the Nobel Prize in Physics as well but was disappointed when the Nobel Prize went to Owen Richardson in 1928 and to Louis de Broglie in 1929. He was so confident of winning the prize in 1930 that he booked tickets in July, even though the awards were to be announced in November, and would scan each day's newspaper for announcement of the prize, tossing it away if it did not carry the news. He did eventually win the 1930 Nobel Prize in Physics ""for his work on the scattering of light and for the discovery of the Raman effect"". He is the first Asian and first non-white to receive any Nobel Prize in the sciences. Before him Rabindranath Tagore (also Indian) had received the Nobel Prize for Literature in 1913.",te,True,0,Raman,రామన్,False,True
సురినామ్ దేశ మొదటి ప్రధానమంత్రి ఎవరు?,"Henck Alphonsus Eugène Arron (25 April 1936 – 4 December 2000) was the first Prime Minister of Suriname after it gained independence in 1975. A member of the National Party of Suriname, he served from 24 December 1973 with the transition government, to 25 February 1980. He was overthrown in a coup d'état by the military, led by Dési Bouterse. Released in 1981 after charges of corruption were dropped, he returned to banking, his previous career. ",te,True,0,Henck Alphonsus Eugène Arron,హెన్క్ అల్ఫోన్సస్ యూజీన్ అరోన్,False,True
అజర్‌బైజాన్ దేశ రాజధాని ఏది?,"Baku (; , ) is the capital and largest city of Azerbaijan, as well as the largest city on the Caspian Sea and of the Caucasus region. Baku is located below sea level, which makes it the lowest lying national capital in the world and also the largest city in the world located below sea level. It is located on the southern shore of the Absheron Peninsula, alongside the Bay of Baku. At the beginning of 2009, Baku's urban population was estimated at just over two million people. Officially, about 25 percent of all inhabitants of the country live in Baku's metropolitan area. Baku is the sole metropolis in Azerbaijan.",te,True,0,Baku,బాకు,False,True
ప్రపంచంలో ఎక్కువగా సిమెంటు‌ని ఉత్పత్తి చేసే దేశం ఏది ?,"In 2010, the world production of hydraulic cement was . The top three producers were China with 1,800, India with 220, and USA with 63.5 million tonnes for a total of over half the world total by the world's three most populated states.",te,True,96,"1,800","1,800",False,True
బంగ్లాదేశ్ దేశ జాతీయ భాష ఏది?,"English is a co-official language of Bangladesh and is widely used in the executive, legislative and judicial branches. Bangladesh's Constitution and laws were written in English and are now being re-written in the Bengali. It is also widely used in schools, colleges and universities as a medium of instruction.",te,True,0,English,ఇంగ్లీష్,False,True
మిడిల్‌సెక్స్ దేశంలో నిర్మించిన మొదటి విశ్వవిద్యాలయం ఏది?,"Middlesex University London is a public university in Hendon, north west London, England. It is one of the post-1992 universities and is a member of the Million+ working group. The name of the University is taken from its location within the historic county boundaries of Middlesex. The university's history can be traced back to 1878 when its founding institute, St Katherine's College, was established in Tottenham as a teacher training college for women. Having merged with several other institutes, the university was consolidated in its current form in 1992.",te,True,558,1992,1992,False,True
మొరాకో దేశ రాజధాని ఏమిటి?,"Morocco (; ; ; ), officially the Kingdom of Morocco (; ; ), is a country located in the Maghreb region of North West Africa with an area of . Its capital is Rabat, the largest city Casablanca. It overlooks the Mediterranean Sea to the north and the Atlantic Ocean to the west. Morocco claims the areas of Ceuta, Melilla and Peñón de Vélez de la Gomera, all of them currently under Spanish jurisdiction.",te,True,157,Rabat,రబాత్,False,True
భారతదేశంలో పట్టు వస్త్రాలకు ప్రసిద్ధి గాంచిన నగరం పేరు ఏంటి?,"Silk in the Indian subcontinent is a luxury good. In India, about 97% of the raw mulberry silk is produced in the five Indian states of Karnataka, Andhra Pradesh, Tamil Nadu, West Bengal and Jammu and Kashmir. Mysore and North Bangalore, the upcoming site of a US$20 million ""Silk City"", contribute to a majority of silk production. Another emerging silk producer is Tamil Nadu where mulberry cultivation is concentrated in Salem, Erode and Dharmapuri districts. Hyderabad, Andhra Pradesh and Gobichettipalayam, Tamil Nadu were the first locations to have automated silk reeling units. ",te,True,210,Mysore and North Bangalore,మైసూర్ మరియు ఉత్తర బెంగళూరు,False,True
బ్రిటిష్ మ్యూజియం ని ఎప్పుడు స్థాపించారు?,"The British Museum was established in 1753, largely based on the collections of the Irish physician and scientist Sir Hans Sloane. It first opened to the public on 15 January 1759, in Montagu House, on the site of the current building. Its expansion over the following two and a half centuries was largely a result of expanding British colonisation and has resulted in the creation of several branch institutions, the first being the British Museum (Natural History) – now the Natural History Museum – in 1881.",te,True,38,1753,1753 వ సంవత్సరం,False,True
2010 నాటికి కేరళ రాష్ట్రములో ఎన్ని విశ్వవిద్యాలయాలు ఉన్నాయి?,There are 13 state universities in Kerala.,te,True,10,13,13,False,True
